Date,Close,,,,,
2016-05-01,"1,674.61",,,,,
2016-04-01,"1,670.80",,,,,
2016-03-01,"1,648.12",,,,,
2016-02-01,"1,547.17",,,,,
2016-01-01,"1,562.18",,,,,
2015-12-01,"1,662.79",,,,,
2015-11-01,"1,694.40",,,,,
2015-10-01,"1,705.80",,,,,
2015-09-01,"1,581.92",,,,,
2015-08-01,"1,645.43",,,,,
2015-07-01,"1,765.60",,,,,
2015-06-01,"1,735.61",,,,,
2015-05-01,"1,779.31",,,,,
2015-04-01,"1,778.40",,,,,
2015-03-01,"1,740.81",,,,,
2015-02-01,"1,772.86",,,,,
2015-01-01,"1,677.54",,,,,
2014-12-01,"1,709.67",,,,,
2014-11-01,"1,739.50",,,,,
2014-10-01,"1,708.09",,,,,
2014-09-01,"1,698.41",,,,,
2014-08-01,"1,748.67",,,,,
2014-07-01,"1,714.33",,,,,
2014-06-01,"1,743.42",,,,,
2014-05-01,"1,715.18",,,,,
2014-04-01,"1,687.74",,,,,
2014-03-01,"1,673.87",,,,,
2014-02-01,"1,675.40",,,,,
2014-01-01,"1,598.46",,,,,
2013-12-01,"1,661.07",,,,,
2013-11-01,"1,628.42",,,,,
2013-10-01,"1,602.86",,,,,
2013-09-01,"1,543.67",,,,,
2013-08-01,"1,472.74",,,,,
2013-07-01,"1,507.91",,,,,
2013-06-01,"1,433.55",,,,,
2013-05-01,"1,471.93",,,,,
2013-04-01,"1,476.14",,,,,
2013-03-01,"1,434.51",,,,,
2013-02-01,"1,405.18",,,,,
2013-01-01,"1,405.47",,,,,
2012-12-01,"1,338.50",,,,,
2012-11-01,"1,315.49",,,,,
2012-10-01,"1,301.52",,,,,
2012-09-01,"1,311.50",,,,,
2012-08-01,"1,279.21",,,,,
2012-07-01,"1,250.57",,,,,
2012-06-01,"1,235.72",,,,,
2012-05-01,"1,177.64",,,,,
2012-04-01,"1,293.99",,,,,
2012-03-01,"1,312.01",,,,,
2012-02-01,"1,298.72",,,,,
2012-01-01,"1,240.89",,,,,
2011-12-01,"1,182.59",,,,,
2011-11-01,"1,184.60",,,,,
2011-10-01,"1,217.30",,,,,
2011-09-01,"1,104.06",,,,,
2011-08-01,"1,211.22",,,,,
2011-07-01,"1,306.05",,,,,
2011-06-01,"1,331.18",,,,,
2011-05-01,"1,354.61",,,,,
2011-04-01,"1,388.62",,,,,
2011-03-01,"1,334.93",,,,,
2011-02-01,"1,351.65",,,,,
2011-01-01,"1,308.08",,,,,
2010-12-01,"1,280.07",,,,,
2010-11-01,"1,193.56",,,,,
2010-10-01,"1,222.23",,,,,
2010-09-01,"1,179.19",,,,,
2010-08-01,"1,080.70",,,,,
2010-07-01,"1,124.83",,,,,
2010-06-01,"1,041.32",,,,,
2010-05-01,"1,079.80",,,,,
2010-04-01,"1,198.56",,,,,
2010-03-01,"1,200.53",,,,,
2010-02-01,"1,133.35",,,,,
2010-01-01,"1,119.54",,,,,
2009-12-01,"1,168.47",,,,,
2009-11-01,"1,149.01",,,,,
2009-10-01,"1,106.17",,,,,
2009-09-01,"1,126.98",,,,,
2009-08-01,"1,085.60",,,,,
2009-07-01,"1,044.75",,,,,
2009-06-01,964.05,,,,,
2009-05-01,970,,,,,
2009-04-01,893.02,,,,,
2009-03-01,805.22,,,,,
2009-02-01,750.86,,,,,
2009-01-01,838.83,,,,,
2008-12-01,920.23,,,,,
2008-11-01,892.93,,,,,
2008-10-01,957.25,,,,,
2008-09-01,"1,181.67",,,,,
2008-08-01,"1,344.86",,,,,
2008-07-01,"1,366.70",,,,,
2008-06-01,"1,402.13",,,,,
2008-05-01,"1,525.73",,,,,
2008-04-01,"1,508.99",,,,,
2008-03-01,"1,437.40",,,,,
2008-02-01,"1,455.56",,,,,
2008-01-01,"1,466.35",,,,,
2007-12-01,"1,588.80",,,,,
2007-11-01,"1,610.94",,,,,
2007-10-01,"1,682.35",,,,,
2007-09-01,"1,633.58",,,,,
2007-08-01,"1,561.59",,,,,
2007-07-01,"1,565.81",,,,,
2007-06-01,"1,602.36",,,,,
2007-05-01,"1,616.87",,,,,
2007-04-01,"1,577.86",,,,,
2007-03-01,"1,514.18",,,,,
2007-02-01,"1,490.44",,,,,
2007-01-01,"1,500.23",,,,,
2006-12-01,"1,483.58",,,,,
2006-11-01,"1,455.17",,,,,
2006-10-01,"1,422.93",,,,,
2006-09-01,"1,373.37",,,,,
2006-08-01,"1,358.87",,,,,
2006-07-01,"1,327.23",,,,,
2006-06-01,"1,319.93",,,,,
2006-05-01,"1,322.25",,,,,
2006-04-01,"1,373.38",,,,,
2006-03-01,"1,342.93",,,,,
2006-02-01,"1,309.45",,,,,
2006-01-01,"1,313.21",,,,,
2005-12-01,"1,257.78",,,,,
2005-11-01,"1,231.41",,,,,
2005-10-01,"1,193.88",,,,,
2005-09-01,"1,224.31",,,,,
2005-08-01,"1,194.81",,,,,
2005-07-01,"1,188.16",,,,,
2005-06-01,"1,148.81",,,,,
2005-05-01,"1,140.68",,,,,
2005-04-01,"1,123.64",,,,,
2005-03-01,"1,150.36",,,,,
2005-02-01,"1,176.70",,,,,
2005-01-01,"1,142.35",,,,,
2004-12-01,"1,169.34",,,,,
2004-11-01,"1,127.34",,,,,
2004-10-01,"1,072.70",,,,,
2004-09-01,"1,047.86",,,,,
2004-08-01,"1,029.63",,,,,
2004-07-01,,,,,,
2004-06-01,"1,063.59",,,,,
2004-05-01,"1,027.88",,,,,
2004-04-01,1052.08,,,,,
2004-03-01,1049.56,,,,,
2004-02-01,1078.05,,,,,
2004-01-01,1056.78,,,,,
2003-12-01,987.82,,,,,
2003-11-01,,,,,,
2003-10-01,962.71,,,,,
2003-09-01,916.9,,,,,
2003-08-01,896.49,,,,,
2003-07-01,874.57,,,,,
2003-06-01,907.26,,,,,
2003-05-01,838.57,,,,,
2003-04-01,771.81,,,,,
2003-03-01,739.08,,,,,
2003-02-01,,,,,,
2003-01-01,762.44,,,,,
2002-12-01,784.06,,,,,
2002-11-01,828.58,,,,,
2002-10-01,798.06,,,,,
2002-09-01,796.25,,,,,
2002-08-01,822.06,,,,,
2002-07-01,889.66,,,,,
2002-06-01,948.83,,,,,
2002-05-01,975.2,,,,,
2002-04-01,,,,,,
2002-03-01,1005.52,,,,,
2002-02-01,942.52,,,,,
2002-01-01,980.08,,,,,
2001-12-01,979.91,,,,,
2001-11-01,986.33,,,,,
